,tic,gsector
1753217,COF.PG,40.0
4191460,SAU.,15.0
3589116,CDXC,35.0
1206321,PAVMZ,35.0
3034124,CNCN,45.0
2453456,AZMTF,15.0
1641451,WVFC,40.0
2278061,CNWT,45.0
151974,HWKN,15.0
1357192,SWH.,40.0
4445639,MYSZ,45.0
905236,CPLG,60.0
29482,BCPC,15.0
3326299,ABCAF,15.0
2885272,OIS,10.0
1055830,NVTQF,45.0
3891036,H,25.0
86079,UMAX,25.0
2892390,SNMX,15.0
3115049,STON,25.0
3132355,VVDL,25.0
1337216,EMA.PR.H,55.0
1454390,YIN,40.0
616161,PBCTP,40.0
1001834,XREG,10.0
621933,BPO.PR.A,40.0
1423442,CLSD,35.0
1635688,BPFHW,40.0
1534893,RELV,30.0
2323083,CNXN,45.0
2159607,WBRE,55.0
3396225,TPNEF,10.0
3323510,IMP.,45.0
2101230,BTN,50.0
4400979,SMMT,35.0
4443336,AAGIY,40.0
1039548,EYESW,35.0
2300358,PGUZ,35.0
2694006,SCNTQ,45.0
2158603,MFIN,40.0
2320818,CBAN,40.0
58641,CNA,40.0
3866987,WMC,40.0
392035,WTS,20.0
4111080,HII,20.0
4087034,TRCH,10.0
1816125,LXR.WT,25.0
1404465,FTV,20.0
540752,FMCKL,40.0
2629730,BSI.H,10.0
1577909,PBBSF,25.0
4420587,KPFSY,25.0
3393915,TCPIF,20.0
4151428,ANLDF,10.0
3232834,NEWLF,20.0
2494077,ESKYF,15.0
3303048,ROX,30.0
3860141,NTCXF,45.0
4216826,BNZZW,10.0
2468634,GCN.,15.0
1630731,WRD,10.0
1384413,CNNB,40.0
2196296,HPTO,45.0
217691,MAHI,25.0
3452430,NECB,40.0
52103,BAM.PF.J,40.0
2755482,SKBI,35.0
3125865,VIPV,15.0
3065629,ZIMCF,45.0
2191141,USNA,30.0
753809,PWCO,55.0
1414925,SHWZ,35.0
534728,VODG,35.0
2227925,TEA.H,15.0
2585647,AKAVF,20.0
3837212,GWBU,25.0
2207644,MTN,25.0
2834437,SMPP,45.0
4331615,GNGBY,35.0
2622612,HPQ.,15.0
2881989,BWTL,25.0
3910198,IMV,35.0
2255898,GXSFF,15.0
462153,BOMBF,20.0
2993715,CJC.,15.0
3911840,VTNR,10.0
4061376,FBOP.1,40.0
1013567,VKTX,35.0
121125,FNMAP,40.0
2135776,CBGH,40.0
3511038,FNDM,45.0
2229446,QRVO,45.0
4182639,LRZZF.1,35.0
2091966,TK,10.0
3661736,FTLF,30.0
2403247,AZN.H,15.0
